              DbgId/Bin,  TimeStamp,     Process Name ( PID),           BaseAddr,  ImageSize, TimeDateStamp,   Checksum, OrigFileName
              DbgId/Dbg,  TimeStamp,     Process Name ( PID),           BaseAddr,  ImageSize, TimeDateStamp,   Checksum, OrigFileName
             DbgId/NB10,  TimeStamp,     Process Name ( PID),           BaseAddr,  Signature,        Age, Pdb
             DbgId/RSDS,  TimeStamp,     Process Name ( PID),           BaseAddr,                              Signature,        Age, Pdb
           DbgId/ILRSDS,  TimeStamp,     Process Name ( PID),           BaseAddr,                              Signature,        Age, Pdb
        DbgId/RSDS(Tmf),  TimeStamp,                              Signature,        Age, Pdb
FirstReliableEventTimeStamp, TimeStamp
EndHeader
OS Version: 10.0.22621, Trace Size: 81920KB, Events Lost: 0, Buffers lost: 0, Trace Start: 133162466791295371, Trace Length: 83 sec, PointerSize: 8, Trace Name: c:\Temp\ph\exp4a\events.etl
FirstReliableEventTimeStamp, 0
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876179,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 4, 128, 2, 2, 5, 4, 4, 2, 1, 4, 2, 6, 2, 2, 6, 4, 3, 3, 2, 4, 6, 4, 5, 5, 6, 5, 5, 3, 4, 2, 3, 6, 7, 7, 3, 4, 6, 2, 3, 4, 2, 4, 6, 4, 4, 7, 6, 5, 3, 5, 3, 4, 3, 4, 5, 7, 2, 2, 4, 3, 3, 6, 2, 3, 4, 5
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876181,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 5, 128, 6, 4, 4, 7, 4, 5, 4, 4, 4, 6, 3, 2, 2, 4, 6, 2, 0, 4, 2, 1, 2, 6, 6, 2, 4, 3, 6, 3, 7, 2, 6, 4, 6, 4, 3, 2, 3, 4, 4, 3, 4, 6, 3, 2, 4, 5, 6, 6, 3, 4, 1, 8, 1, 2, 6, 4, 4, 3, 5, 2, 2, 5, 4, 5
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876183,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 6, 128, 4, 7, 3, 2, 4, 5, 1, 5, 5, 3, 4, 5, 5, 6, 2, 3, 6, 3, 1, 2, 3, 3, 3, 3, 4, 5, 4, 4, 2, 3, 2, 4, 2, 4, 3, 7, 4, 5, 5, 5, 6, 7, 8, 5, 3, 8, 2, 5, 5, 4, 2, 3, 3, 5, 1, 6, 6, 3, 8, 4, 3, 2, 2, 5
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876185,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 7, 128, 3, 6, 3, 4, 6, 1, 1, 3, 6, 6, 3, 3, 5, 3, 0, 3, 3, 8, 3, 3, 0, 4, 7, 4, 5, 6, 5, 2, 3, 2, 5, 5, 3, 5, 5, 2, 7, 2, 4, 4, 5, 5, 6, 6, 4, 2, 4, 2, 2, 4, 6, 3, 6, 6, 6, 5, 3, 7, 6, 2, 4, 9, 3, 5
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876187,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 8, 128, 7, 4, 5, 4, 4, 3, 2, 4, 4, 5, 7, 3, 4, 4, 7, 1, 7, 6, 4, 7, 3, 7, 4, 3, 4, 6, 4, 4, 3, 5, 5, 7, 3, 7, 3, 7, 4, 4, 6, 3, 2, 4, 4, 7, 3, 5, 5, 4, 6, 4, 1, 3, 6, 1, 4, 5, 1, 5, 3, 3, 3, 3, 2, 3
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876190,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 9, 128, 5, 6, 8, 3, 3, 3, 5, 4, 3, 6, 2, 3, 5, 5, 5, 5, 3, 4, 3, 6, 4, 6, 6, 4, 5, 5, 5, 3, 2, 5, 5, 1, 2, 5, 4, 4, 2, 4, 4, 4, 6, 3, 4, 3, 3, 3, 3, 4, 4, 6, 6, 1, 4, 2, 3, 6, 4, 3, 3, 3, 4, 4, 1, 5
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876192,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 10, 128, 5, 4, 0, 7, 5, 3, 4, 7, 1, 3, 3, 5, 2, 2, 3, 6, 5, 6, 3, 3, 3, 5, 3, 4, 1, 5, 5, 4, 2, 5, 3, 4, 4, 7, 5, 4, 3, 5, 6, 4, 4, 2, 4, 4, 4, 4, 3, 3, 4, 2, 2, 5, 2, 4, 1, 3, 3, 6, 5, 6, 5, 2, 4, 3
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876194,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 11, 128, 4, 3, 3, 7, 3, 5, 2, 4, 4, 3, 3, 7, 4, 4, 4, 3, 5, 5, 4, 1, 5, 5, 5, 1, 7, 5, 5, 3, 3, 3, 8, 1, 5, 5, 5, 5, 6, 2, 2, 3, 1, 8, 3, 4, 4, 7, 5, 3, 3, 2, 5, 4, 4, 8, 5, 4, 2, 3, 1, 8, 6, 1, 3, 6
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876196,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 12, 128, 4, 6, 2, 4, 4, 5, 5, 3, 4, 5, 3, 6, 5, 3, 5, 4, 2, 5, 2, 2, 1, 3, 4, 5, 8, 4, 1, 3, 2, 4, 3, 1, 3, 4, 5, 4, 7, 4, 1, 4, 6, 7, 5, 6, 1, 3, 3, 5, 9, 3, 3, 4, 2, 2, 3, 2, 4, 3, 1, 2, 1, 4, 6, 4
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876198,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 13, 128, 4, 7, 2, 5, 3, 5, 3, 2, 2, 4, 2, 4, 5, 3, 7, 2, 1, 5, 3, 2, 3, 6, 5, 0, 4, 6, 4, 2, 5, 3, 3, 6, 7, 2, 2, 4, 4, 5, 3, 7, 5, 1, 2, 1, 4, 6, 3, 3, 5, 4, 3, 4, 1, 4, 5, 7, 6, 3, 2, 5, 2, 4, 3, 5
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876201,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 14, 128, 3, 6, 3, 5, 2, 4, 2, 1, 3, 7, 5, 5, 6, 4, 1, 4, 6, 3, 3, 4, 5, 2, 8, 4, 7, 3, 6, 3, 5, 4, 5, 7, 1, 4, 4, 5, 8, 2, 3, 2, 3, 1, 4, 4, 4, 4, 3, 3, 5, 5, 7, 2, 5, 3, 6, 2, 2, 5, 3, 2, 1, 6, 3, 6
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876203,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 15, 128, 3, 3, 3, 4, 5, 2, 4, 1, 6, 4, 3, 8, 5, 3, 1, 4, 4, 5, 6, 5, 2, 6, 5, 4, 2, 7, 3, 3, 7, 3, 2, 4, 2, 6, 4, 7, 4, 5, 5, 2, 2, 5, 0, 6, 3, 4, 2, 3, 4, 4, 3, 5, 1, 2, 3, 5, 4, 3, 3, 3, 3, 1, 7, 6
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876205,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 16, 128, 2, 3, 2, 5, 3, 5, 2, 3, 4, 7, 2, 2, 7, 4, 7, 5, 4, 3, 4, 3, 6, 3, 4, 3, 4, 3, 6, 3, 3, 8, 6, 3, 4, 3, 4, 3, 4, 6, 3, 3, 5, 2, 1, 2, 3, 3, 4, 6, 8, 4, 7, 3, 3, 7, 7, 4, 4, 5, 2, 2, 3, 3, 1, 3
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876207,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 17, 128, 2, 5, 3, 8, 6, 8, 0, 3, 4, 7, 3, 4, 5, 3, 3, 6, 3, 5, 1, 1, 7, 2, 2, 4, 5, 5, 4, 4, 3, 3, 2, 7, 6, 4, 6, 0, 6, 4, 6, 6, 2, 4, 3, 5, 4, 5, 4, 5, 2, 3, 3, 6, 4, 3, 7, 4, 3, 3, 1, 8, 8, 4, 3, 5
